Dates,Times,closePrices,upPrices,downPrices,AvgGain,AvgLoss,RS,RSI
10/28/2021,6:00AM,59067.55,0.0,-4.69999999999709,140.88535714285703,137.53674107142848,1.0243470657028981,50.601356015364
10/28/2021,7:00AM,59043.46,0.0,-24.090000000003783,140.88535714285703,136.69901785714276,1.030624501560715,50.7540660899437
10/28/2021,8:00AM,60597.88,1554.4199999999983,0.0,145.51160714285703,135.8106249999999,1.071430214998695,51.72417623537319
10/28/2021,9:00AM,61081.545,483.6650000000009,0.0,146.646175595238,135.8106249999999,1.0797842627941525,51.91808987647026
10/28/2021,10:00AM,61074.13,0.0,-7.415000000000873,146.646175595238,135.76998511904753,1.0801074734349707,51.92556092552962
10/28/2021,11:00AM,60984.275,0.0,-89.85499999999593,145.91721726190465,136.0374107142856,1.072625658601877,51.75202063866342
10/28/2021,12:00PM,61127.41,143.13500000000204,0.0,146.34321428571417,135.94098214285702,1.0765202073641464,51.84251053981503
10/28/2021,1:00PM,61540.905,413.49499999999534,0.0,147.57385416666654,135.73938988095227,1.0871851884415678,52.088582961502
10/28/2021,2:00PM,61554.925,14.020000000004075,0.0,147.61558035714273,135.2098214285713,1.0917519067586754,52.193183294400626
10/28/2021,3:00PM,61176.795,0.0,-378.13000000000466,147.61558035714273,136.33104166666658,1.0827730687928518,51.98708803261092
10/28/2021,4:00PM,61204.76,27.965000000003783,0.0,147.69880952380942,136.2087499999999,1.0843562511498677,52.023556460257964
10/28/2021,5:00PM,61145.57,0.0,-59.19000000000233,147.69880952380942,135.9147619047618,1.0867017493457034,52.07748302729149
10/28/2021,6:00PM,60173.68,0.0,-971.8899999999994,147.69880952380942,138.75724702380944,1.06444032792367,51.560721495604604
10/28/2021,7:00PM,61423.48,1249.800000000003,0.0,148.78513392857135,138.75724702380944,1.0722692840903743,51.74372328551154
10/28/2021,8:00PM,61368.235,0.0,-55.24500000000262,148.78513392857135,138.26309523809516,1.0761015705048176,51.83279979134915
10/28/2021,9:00PM,60725.97,0.0,-642.2649999999994,148.78513392857135,138.92410714285705,1.0709813940036634,51.713713947628484
10/28/2021,10:00PM,60534.795,0.0,-191.1750000000029,147.7990922619047,139.4930803571428,1.0595442575609924,51.44556877917029
10/28/2021,11:00PM,60598.165,63.37000000000262,0.0,147.98769345238088,138.97389880952375,1.0648596227066447,51.57055767843496
10/29/2021,12:00AM,61397.325,799.1599999999962,0.0,150.36614583333326,138.19660714285706,1.088059605384496,52.10864683070866
10/29/2021,1:00AM,61383.575,0.0,-13.75,150.36614583333326,137.35794642857135,1.094702925771582,52.26053357271886
10/29/2021,2:00AM,61534.975,151.40000000000146,0.0,150.19934523809516,137.35794642857135,1.0934885759682027,52.23284179912388
10/29/2021,3:00AM,61632.875,97.90000000000146,0.0,144.89129464285708,137.35794642857135,1.0548446479447273,51.33452054391517
10/29/2021,4:00AM,61511.475,0.0,-121.40000000000146,143.91569940476182,137.71925595238088,1.0449932974842928,51.10008422862908
10/29/2021,5:00AM,61003.79,0.0,-507.6849999999977,143.25934523809516,139.23022321428564,1.028938558962219,50.71314527575001
10/29/2021,6:00AM,61162.32,158.52999999999884,0.0,143.73116071428564,138.943869047619,1.0344548607972472,50.84678361415561
10/29/2021,7:00AM,60550.47,0.0,-611.8499999999985,143.44380952380948,140.76485119047612,1.0190314436500083,50.47130131900282
10/29/2021,8:00AM,60944.21,393.73999999999796,0.0,144.6156547619047,139.43200892857135,1.0371768711730234,50.91246056488989
10/29/2021,9:00AM,60906.23,0.0,-37.979999999995925,144.6156547619047,138.7139285714285,1.0425460244061733,51.04149487692799
10/29/2021,10:00AM,61017.195,110.96499999999651,0.0,143.79717261904756,138.7139285714285,1.0366455200279439,50.89965385894549
10/29/2021,11:00AM,60940.25,0.0,-76.94499999999971,143.79717261904756,138.78778273809516,1.0360938822000316,50.88635112839275
10/29/2021,12:00PM,60968.465,28.214999999996508,0.0,143.16921130952375,138.78778273809516,1.0315692670131977,50.77696752765931
10/29/2021,1:00PM,61339.27,370.8050000000003,0.0,144.27279761904754,138.07723214285707,1.0448702901994764,51.097142699332274
10/29/2021,2:00PM,61288.735,0.0,-50.53499999999622,142.17927083333325,138.22763392857135,1.0285878936971742,50.704625463505835
10/29/2021,3:00PM,62285.425,996.6900000000023,0.0,144.89998511904756,138.22763392857135,1.0482707473233905,51.17832926595444
10/29/2021,4:00PM,62588.66,303.2350000000006,0.0,145.80247023809517,138.10561011904753,1.0557316977377886,51.35551973536036
